index,Amount,Use Chip,Errors,Fraud,Trans_hour,Day_of_week,MCC_Category,Current Age,Gender,Latitude,Longitude,hist_trans_60d,hist_trans_24h,hist_fraud_trans_24h,hist_trans_avg_amt_60d
0,-0.403645833,1,0,0,0.714285714,-0.25,-1,0.047619048,0,-0.553741497,-1.841427736,-0.675675676,-1.5,0,-1.354625386
1,1.828298611,0,0,0,-1,0,0,0.047619048,0,-0.553741497,-1.841427736,-0.662162162,-1,0,-1.076365365
2,0.353993056,0,0,0,-0.857142857,0,0,0.047619048,0,-0.553741497,-1.841427736,-0.662162162,-0.5,0,-1.076365365
3,0.347395833,0,0,0,0.142857143,0,0,0.047619048,0,-0.553741497,-1.841427736,-0.662162162,0,0,-1.076365365
4,-0.361458333,0,0,0,0.142857143,0.5,0,0.047619048,0,-0.553741497,-1.841427736,-0.621621622,0.5,0,0.482248416
5,-0.334722222,0,0,0,1,0.5,0,0.047619048,0,-0.553741497,-1.841427736,-0.621621622,-1,0,0.482248416
6,0.169618056,0,0,0,-0.857142857,0.75,-1,0.047619048,0,-0.553741497,-1.841427736,-0.594594595,-0.5,0,0.246144669
7,1.561979167,0,1,0,-0.857142857,-0.5,0,0.047619048,0,-0.553741497,-1.841427736,-0.581081081,0,0,0.225928324
8,-0.365798611,0,0,0,0.142857143,0.25,-1,0.047619048,0,-0.553741497,-1.841427736,-0.567567568,-1,0,0.569320913
9,-0.004340278,0,0,0,-0.142857143,0.75,0,0.047619048,0,-0.553741497,-1.841427736,-0.554054054,-1,0,0.395130219
10,0.087326389,0,0,0,-0.857142857,-0.75,-1,0.047619048,0,-0.553741497,-1.841427736,-0.540540541,-1,0,-0.015818864
11,0.025173611,0,0,0,0.142857143,-0.75,0,0.047619048,0,-0.553741497,-1.841427736,-0.540540541,-0.5,0,-0.015818864
12,-1.458854167,0,0,0,0.142857143,-0.75,0,0.047619048,0,-0.553741497,-1.841427736,-0.540540541,-0.5,0,-0.015818864
13,0.381423611,0,0,0,0.142857143,-0.75,0,0.047619048,0,-0.553741497,-1.841427736,-0.540540541,0,0,-0.015818864
14,0.085243056,0,0,0,-0.857142857,-0.5,-1,0.047619048,0,-0.553741497,-1.841427736,-0.486486486,0.5,0,0.017742548
